ID_PUBLICACION,USUARIO_PUBLICADOR,PUBLICACION,USUARIO_COMENTADOR,CALIFICACION
16,@traveler_joy,La magia de las ciudades antiguas,@sofia_martin,1
1,@traveler_joy,Explorando nuevos destinos,@sofia_martin,1
19,@juliana19,Historias de Firulais,@mariagomez,1
37,@foodie_adventure,Sabores locales autenticos,@mariagomez,1
11,@juliana19,Firulais recorriendo el mundo,@david22,1
16,@traveler_joy,La magia de las ciudades antiguas,@mariagomez,1
13,@tech_wizard,Los secretos detras de la tecnologia punta,@andres_93,-1
9,@sports_lover,El juego del siglo,@pablo_santos,1
8,@tech_wizard,Los gadgets mas asombrosos del anio,@mariagomez,1
14,@sports_lover,Un torneo epico,@juancarlos82,1
5,@movie_buff,Una obra maestra del cine,@juliana19,1
10,@movie_buff,Un clasico reinventado,@andres_93,-1
20,@movie_buff,Un homenaje a los grandes directores,@juliana19,1
17,@luciana_vega,Les presento a Mishi,@mariagomez,1
29,@luciana_vega,Mishi aventuras,@mariagomez,-1
28,@tech_wizard,La proxima gran innovacion en la industria,@mariagomez,1
9,@sports_lover,El juego del siglo,@andres_93,-1
9,@sports_lover,El juego del siglo,@david22,-1
10,@movie_buff,Un clasico reinventado,@pablo_santos,1
40,@movie_buff,Cine experimental que desafia los limites,@juancarlos82,1
27,@foodie_adventure,Recetas tradicionales con un toque moderno,@luciana_vega,1
11,@juliana19,Firulais recorriendo el mundo,@andres_93,1
9,@sports_lover,El juego del siglo,@luciana_vega,1
39,@sports_lover,De vuelta a los momentos mas emocionantes del deporte,@luciana_vega,1
16,@traveler_joy,La magia de las ciudades antiguas,@luciana_vega,1
38,@tech_wizard,Como la inteligencia artificial esta transformando el mundo,@juliana19,-1
3,@tech_wizard,La ultima innovacion tecnologica,@juliana19,-1
20,@movie_buff,Un homenaje a los grandes directores,@pablo_santos,1
5,@movie_buff,Una obra maestra del cine,@pablo_santos,1
22,@foodie_adventure,Comida callejera deliciosa y economica,@sofia_martin,1
40,@movie_buff,Cine experimental que desafia los limites,@luciana_vega,-1
21,@traveler_joy,Destinos remotos para desconectar,@luciana_vega,1
7,@foodie_adventure,Cocina casera reconfortante,@juliana19,1
33,@tech_wizard,Los dispositivos mas esperados del futuro,@luciana_vega,1
40,@movie_buff,Cine experimental que desafia los limites,@david22,1
9,@sports_lover,El juego del siglo,@mariagomez,1
8,@tech_wizard,Los gadgets mas asombrosos del anio,@david22,1
7,@foodie_adventure,Cocina casera reconfortante,@luciana_vega,1
18,@tech_wizard,Como la tecnologia esta cambiando nuestras vidas,@juliana19,-1
15,@movie_buff,Una joya del cine independiente,@juancarlos82,1
15,@movie_buff,Una joya del cine independiente,@pablo_santos,1
9,@sports_lover,El juego del siglo,@juliana19,1
12,@foodie_adventure,Platos exoticos que debes probar,@david22,-2
16,@traveler_joy,La magia de las ciudades antiguas,@david22,-2
4,@sports_lover,Emocionante partido de la temporada,@luciana_vega,1
9,@sports_lover,El juego del siglo,@sofia_martin,1
34,@sports_lover,El deporte como herramienta de cambio social,@sofia_martin,1
2,@foodie_adventure,Delicias culinarias alrededor del mundo,@david22,1
10,@movie_buff,Un clasico reinventado,@luciana_vega,1
25,@movie_buff,Peliculas que te dejaran sin aliento,@pablo_santos,1
30,@movie_buff,Una noche de clasicos de Hollywood,@sofia_martin,1
26,@traveler_joy,Explorando la belleza bajo el agua,@juliana19,1
27,@foodie_adventure,Recetas tradicionales con un toque moderno,@andres_93,-1
5,@movie_buff,Una obra maestra del cine,@luciana_vega,-1
10,@movie_buff,Un clasico reinventado,@sofia_martin,1
18,@tech_wizard,Como la tecnologia esta cambiando nuestras vidas,@luciana_vega,1
38,@tech_wizard,Como la inteligencia artificial esta transformando el mundo,@pablo_santos,1
32,@foodie_adventure,Restaurantes con estrellas Michelin,@pablo_santos,1
4,@sports_lover,Emocionante partido de la temporada,@sofia_martin,1
1,@traveler_joy,Explorando nuevos destinos,@luciana_vega,1
29,@luciana_vega,Mishi aventuras,@juancarlos82,1
8,@tech_wizard,Los gadgets mas asombrosos del anio,@juliana19,1
23,@tech_wizard,La revolucion de la realidad virtual,@andres_93,-1
40,@movie_buff,Cine experimental que desafia los limites,@andres_93,-1
26,@traveler_joy,Explorando la belleza bajo el agua,@pablo_santos,1
8,@tech_wizard,Los gadgets mas asombrosos del anio,@pablo_santos,-1
27,@foodie_adventure,Recetas tradicionales con un toque moderno,@mariagomez,1
31,@traveler_joy,Aventuras en la naturaleza virgen,@mariagomez,1
15,@movie_buff,Una joya del cine independiente,@mariagomez,1
33,@tech_wizard,Los dispositivos mas esperados del futuro,@david22,1
30,@movie_buff,Una noche de clasicos de Hollywood,@andres_93,-1
11,@juliana19,Firulais recorriendo el mundo,@pablo_santos,2
11,@juliana19,Firulais recorriendo el mundo,@luciana_vega,1
1,@traveler_joy,Explorando nuevos destinos,@juancarlos82,-1
11,@juliana19,Firulais recorriendo el mundo,@mariagomez,1
8,@tech_wizard,Los gadgets mas asombrosos del anio,@andres_93,-1
17,@luciana_vega,Les presento a Mishi,@david22,-1
4,@sports_lover,Emocionante partido de la temporada,@andres_93,-1
16,@traveler_joy,La magia de las ciudades antiguas,@juliana19,1
19,@juliana19,Historias de Firulais,@pablo_santos,2
14,@sports_lover,Un torneo epico,@mariagomez,1
6,@traveler_joy,Aventuras en la jungla urbana,@luciana_vega,1
16,@traveler_joy,La magia de las ciudades antiguas,@juancarlos82,1
6,@traveler_joy,Aventuras en la jungla urbana,@juancarlos82,0
1,@traveler_joy,Explorando nuevos destinos,@david22,1
13,@tech_wizard,Los secretos detras de la tecnologia punta,@juancarlos82,-1
30,@movie_buff,Una noche de clasicos de Hollywood,@luciana_vega,1
11,@juliana19,Firulais recorriendo el mundo,@juancarlos82,-2
35,@movie_buff,Descubriendo joyas cinematograficas,@sofia_martin,1
14,@sports_lover,Un torneo epico,@andres_93,-1
8,@tech_wizard,Los gadgets mas asombrosos del anio,@luciana_vega,1
37,@foodie_adventure,Sabores locales autenticos,@sofia_martin,1
8,@tech_wizard,Los gadgets mas asombrosos del anio,@sofia_martin,1
39,@sports_lover,De vuelta a los momentos mas emocionantes del deporte,@david22,1
24,@sports_lover,Momentos inolvidables en la historia del deporte,@luciana_vega,1
31,@traveler_joy,Aventuras en la naturaleza virgen,@luciana_vega,1
36,@traveler_joy,La ruta de los exploradores legendarios,@luciana_vega,1
33,@tech_wizard,Los dispositivos mas esperados del futuro,@juancarlos82,1
10,@movie_buff,Un clasico reinventado,@mariagomez,2
27,@foodie_adventure,Recetas tradicionales con un toque moderno,@juancarlos82,1
